,ID,relat_ener,dens,E_rank,packing
0,2,0.0,1.3619999999999999,1,7
1,3,0.8,1.358,2,7
2,1,1.11,1.3530000000000002,3,0
3,22,2.02,1.375,4,7
4,16,2.56,1.379,5,7
5,6,2.69,1.3619999999999999,6,7
6,12,2.75,1.351,7,7
7,8,4.45,1.347,8,7
8,13,4.55,1.3359999999999999,9,7
9,10,4.61,1.337,10,7
10,20,4.72,1.348,11,2
11,30,5.06,1.348,12,6
12,25,5.26,1.334,13,7
13,19,5.59,1.33,14,1
14,4,5.78,1.368,15,1
15,27,6.12,1.337,16,6
16,26,6.33,1.325,17,7
17,28,6.48,1.338,18,2
18,23,6.52,1.357,19,2
19,18,6.71,1.338,20,7
20,44,6.92,1.304,21,5
21,34,6.94,1.306,22,7
22,49,7.02,1.34,23,6
23,7,7.1,1.341,24,2
24,31,7.11,1.341,25,6
25,29,7.19,1.327,26,7
