,ID,packing
0,545,1
1,121,0
2,313,2
3,589,4
4,119,2
5,314,6
6,126,4
7,542,4
8,580,1
9,574,2
10,322,2
11,110,4
12,128,4
13,117,1
14,325,7
15,573,2
16,587,7
17,371,4
18,143,4
19,527,2
20,385,2
21,518,4
22,188,7
23,382,2
24,520,6
25,144,7
26,376,2
27,349,2
28,186,4
29,172,2
30,340,2
31,516,2
32,529,7
33,511,4
34,347,2
35,175,5
36,181,5
37,378,2
38,129,7
39,586,4
40,324,3
41,116,4
42,572,0
43,575,0
44,111,2
45,323,2
46,581,2
47,118,2
48,588,2
49,127,7
50,315,6
51,543,4
52,544,7
53,312,7
54,120,4
55,180,0
56,510,2
57,174,2
58,346,5
59,379,1
60,341,2
61,173,2
62,517,0
63,187,7
64,528,6
65,521,5
66,377,5
67,145,4
68,383,2
69,348,7
70,384,2
71,142,5
72,370,4
73,526,0
74,189,4
75,519,2
76,659,2
77,666,2
78,454,1
79,40,4
80,202,5
81,498,2
82,78,7
83,205,4
84,47,4
85,453,2
86,661,2
87,668,4
88,4,5
89,85,7
90,491,2
91,465,2
92,657,2
93,233,4
94,71,4
95,49,2
96,76,7
97,650,2
98,462,2
99,496,4
100,82,2
101,3,7
102,260,2
103,22,2
104,436,4
105,604,2
106,294,2
107,409,2
108,293,2
109,603,2
110,431,4
111,25,7
112,267,2
113,258,5
114,13,7
115,251,4
116,635,7
117,438,2
118,400,4
119,632,2
120,256,2
121,14,7
122,269,2
123,497,2
124,2,4
125,83,2
126,235,1
127,77,7
128,463,0
129,651,2
130,669,2
131,656,6
132,464,0
133,70,4
134,232,1
135,84,5
136,5,4
137,490,5
138,79,7
139,499,7
140,204,4
141,660,2
142,452,5
143,658,4
144,455,5
145,667,1
146,41,4
147,633,2
148,15,4
149,257,5
150,268,4
151,250,1
152,12,4
153,406,4
154,634,2
155,439,6
156,430,2
157,602,2
158,266,4
159,24,7
160,292,7
161,259,1
162,295,4
163,23,6
164,261,5
165,605,0
166,437,7
167,408,2
168,288,2
169,618,2
170,415,2
171,627,4
172,243,4
173,39,1
174,244,0
175,620,6
176,412,5
177,629,2
178,616,0
179,424,4
180,30,6
181,272,0
182,286,0
183,281,2
184,37,1
185,423,4
186,611,4
187,483,4
188,97,6
189,63,2
190,221,4
191,645,2
192,477,4
193,448,4
194,470,2
195,642,0
196,226,5
197,64,2
198,90,7
199,484,4
200,219,4
201,210,2
202,52,4
203,446,2
204,479,4
205,99,2
206,441,2
207,55,4
208,217,4
209,228,2
210,36,0
211,274,0
212,610,2
213,422,4
214,280,7
215,287,2
216,425,2
217,617,2
218,273,0
219,31,7
220,38,1
221,245,2
222,413,5
223,621,2
224,619,4
225,626,0
226,414,3
227,242,2
228,440,2
229,216,4
230,54,2
231,229,4
232,53,2
233,211,2
234,447,2
235,98,7
236,478,7
237,91,2
238,485,0
239,643,6
240,471,2
241,65,5
242,227,2
243,218,4
244,220,2
245,62,2
246,476,6
247,644,4
248,482,4
249,96,7
250,449,2
251,399,7
252,194,5
253,504,4
254,352,2
255,160,0
256,158,7
257,167,4
258,355,1
259,503,4
260,193,3
261,535,4
262,151,6
263,363,2
264,397,2
265,169,7
266,390,2
267,364,2
268,156,7
269,532,2
270,592,2
271,102,7
272,330,2
273,566,4
274,559,2
275,561,4
276,105,2
277,595,2
278,308,0
279,301,1
280,133,4
281,557,2
282,568,2
283,550,2
284,134,7
285,306,4
286,339,2
287,168,2
288,157,7
289,365,6
290,533,2
291,391,4
292,396,3
293,534,7
294,362,1
295,150,4
296,159,2
297,192,2
298,354,2
299,166,4
300,502,4
301,398,1
302,505,6
303,161,4
304,195,4
305,551,7
306,307,2
307,135,4
308,338,2
309,132,2
310,300,4
311,556,4
312,569,4
313,594,2
314,560,6
315,104,7
316,336,7
317,309,2
318,331,4
319,103,4
320,567,0
321,593,4
322,558,6
323,381,1
324,523,6
325,375,4
326,147,7
327,178,2
328,140,5
329,372,4
330,524,0
331,386,2
332,512,4
333,176,0
334,344,2
335,182,1
336,149,7
337,185,4
338,343,2
339,171,2
340,515,1
341,388,2
342,328,4
343,125,0
344,317,7
345,579,4
346,546,2
347,310,4
348,122,2
349,319,2
350,326,6
351,114,4
352,570,6
353,584,1
354,548,2
355,583,7
356,577,4
357,113,5
358,321,5
359,170,5
360,514,6
361,184,7
362,389,4
363,183,4
364,513,2
365,345,0
366,177,4
367,148,2
368,387,4
369,373,1
370,141,5
371,525,6
372,522,7
373,146,4
374,374,4
375,380,2
376,179,4
377,549,2
378,576,0
379,320,2
380,112,0
381,582,2
382,318,1
383,585,2
384,115,4
385,327,2
386,578,2
387,547,2
388,123,2
389,311,7
390,329,2
391,316,4
392,124,7
393,540,2
394,290,7
395,432,4
396,600,2
397,264,4
398,26,4
399,19,7
400,21,5
401,263,3
402,607,2
403,435,6
404,297,2
405,638,2
406,631,4
407,403,4
408,17,7
409,255,2
410,28,4
411,252,2
412,404,2
413,636,4
414,609,2
415,239,7
416,44,4
417,206,4
418,662,1
419,450,7
420,468,0
421,88,5
422,9,5
423,457,4
424,665,1
425,201,7
426,43,2
427,208,2
428,237,1
429,75,7
430,461,2
431,653,2
432,495,0
433,81,6
434,459,0
435,86,7
436,7,4
437,492,4
438,654,1
439,466,2
440,72,2
441,230,2
442,11,4
443,253,7
444,637,2
445,608,2
446,402,4
447,630,2
448,254,2
449,16,7
450,29,7
451,296,2
452,262,2
453,20,4
454,434,0
455,606,6
456,639,2
457,601,0
458,433,0
459,27,7
460,265,4
461,18,5
462,458,1
463,467,2
464,655,2
465,231,6
466,73,2
467,6,4
468,87,4
469,493,0
470,209,4
471,494,1
472,80,7
473,1,4
474,74,7
475,236,4
476,460,2
477,8,1
478,89,5
479,469,2
480,664,1
481,456,7
482,42,2
483,238,1
484,207,4
485,45,4
486,451,4
487,663,1
488,641,7
489,473,2
490,67,5
491,225,4
492,93,2
493,487,0
494,58,2
495,480,6
496,94,1
497,222,2
498,60,7
499,474,1
500,442,6
501,214,4
502,56,2
503,489,2
504,69,4
505,51,0
506,213,4
507,648,2
508,278,5
509,247,1
510,411,2
511,623,2
512,429,4
513,624,1
514,416,2
515,240,4
516,249,2
517,282,5
518,34,7
519,276,4
520,612,4
521,420,6
522,418,4
523,427,6
524,615,2
525,271,2
526,33,7
527,285,2
528,212,5
529,50,0
530,444,2
531,649,4
532,443,2
533,57,4
534,215,4
535,68,4
536,488,4
537,61,2
538,223,1
539,647,2
540,475,3
541,481,4
542,95,4
543,92,7
544,486,7
545,472,2
546,640,1
547,224,1
548,66,5
549,59,7
550,419,4
551,284,2
552,614,0
553,426,6
554,32,4
555,270,4
556,248,2
557,277,7
558,35,7
559,421,2
560,613,2
561,283,7
562,428,4
563,417,4
564,241,7
565,279,4
566,246,1
567,622,1
568,410,2
569,106,2
570,334,7
571,596,4
572,139,6
573,591,2
574,333,2
575,101,4
576,565,2
577,553,4
578,305,7
579,137,7
580,598,2
581,108,4
582,130,4
583,302,2
584,554,2
585,369,6
586,356,2
587,164,7
588,500,0
589,538,1
590,197,4
591,507,0
592,163,7
593,351,2
594,358,1
595,393,2
596,155,7
597,367,4
598,531,4
599,509,4
600,199,4
601,536,6
602,360,2
603,152,5
604,394,6
605,303,0
606,131,7
607,555,2
608,552,4
609,136,4
610,304,4
611,109,4
612,599,2
613,100,7
614,332,2
615,590,2
616,597,2
617,563,2
618,335,6
619,107,4
620,138,4
621,198,4
622,508,2
623,395,1
624,537,2
625,153,5
626,361,1
627,366,2
628,154,4
629,530,6
630,392,1
631,539,7
632,506,7
633,350,2
634,162,2
635,196,4
636,368,6
637,191,5
638,165,4
639,357,0
640,501,4
