,index,Unnamed: 0,dens,ener,ID,sg,dma_dens,dma_ener,f_ener,f_dens,E_idx
0,668,0,1.2352782,-138.997,669,P6122,1.2681,-152.8155,-3.4,1.2894,1
1,5,5,1.2506536,-144.7553,6,P-1,1.2883,-166.2228,-0.1,1.2553,2
2,0,0,1.2638610000000001,-145.5173,1,P-1,1.2882,-166.1914,0.0,1.2553,3
3,4,4,1.250665,-144.7573,5,P21/c,1.2882,-166.2071,-0.0,1.2547,4
4,10,10,1.2649603,-143.9518,11,P21/c,1.307,-164.1138,1.7,1.2728,5
5,15,15,1.2948995,-143.4193,16,P21/c,1.3376,-163.0182,2.1,1.2957,6
6,17,17,1.2938108,-143.053,18,P21/c,1.3369,-162.5127,2.8,1.2917,7
7,35,35,1.2509071000000003,-140.19589,36,P212121,1.2935,-162.0311,3.5,1.2634,8
8,39,39,1.258207,-139.6646,40,P21/c,1.296,-161.3807,3.9,1.26,9
9,2,2,1.3074925,-145.1599,3,P212121,1.3434,-162.8619,4.4,1.2875,10
10,8,8,1.3038167999999999,-144.7079,9,P21,1.3407,-162.6225,4.4,1.2852,11
11,25,25,1.283915,-141.8325,26,C2/c,1.3185,-158.5743,5.3,1.2831,12
12,94,94,1.230831,-136.018,95,P212121,1.2724,-160.5402,5.7,1.2446,13
13,54,54,1.2522895,-138.5673,55,P21/c,1.2876,-160.6538,5.7,1.256,14
14,93,93,1.2308077,-136.0904,94,P212121,1.2724,-160.5625,5.8,1.2445,15
15,12,12,1.2692598999999998,-143.7583,13,P-1,1.3056,-157.2957,6.2,1.2699,16
16,43,43,1.2510388000000001,-139.3668,44,P21/c,1.2873,-160.358,6.3,1.2526,17
17,23,23,1.2895969999999999,-142.4343,24,P21/c,1.3274,-157.0185,6.3,1.2811,18
18,67,67,1.2565766999999999,-137.8047,68,Pca21,1.2914,-159.2071,6.9,1.257,19
19,19,19,1.2813809999999999,-142.9946,20,P21/c,1.3103,-156.596,7.1,1.2749,20
20,18,18,1.2825438999999998,-143.0364,19,P-1,1.3154,-155.1694,7.4,1.2765,21
21,46,46,1.2457711999999999,-138.623,47,P21/c,1.2706,-151.5449,7.9,1.2514,22
22,107,107,1.2257698000000001,-135.3492,108,C2/c,1.2534,-152.9964,8.1,1.2335,23
23,26,26,1.2933514,-141.6961,27,P21/c,1.3281,-158.0904,8.2,1.2796,24
24,134,134,1.2398931,-134.4585,135,P21,1.2726,-159.048,8.5,1.2454,25
25,172,172,1.235101,-133.5738,173,Pna21,1.2723,-157.1939,8.7,1.2521,26
26,29,29,1.2795671999999998,-141.34799999999998,30,P21/c,1.3096,-153.5769,9.3,1.2705,27
27,231,231,1.2856992,-131.9834,232,P21/c,1.3329,-154.1561,10.0,1.2809,28
28,55,55,1.2814887,-138.5644,56,Pccn,1.3161,-153.2483,10.3,1.2716,29
29,31,31,1.2669169,-140.721,32,P21/c,1.3052,-156.0736,10.5,1.262,30
30,140,140,1.2656158000000002,-134.2199,141,P212121,1.3024,-152.4151,10.7,1.2678,31
31,176,176,1.2303654,-133.3335,177,P21/c,1.2668,-156.307,10.9,1.2374,32
32,75,75,1.2718649,-137.1996,76,P21/c,1.3087,-152.2584,11.4,1.2785,33
33,66,66,1.2631756,-137.851,67,Pca21,1.2972,-153.4317,12.4,1.2612,34
34,114,114,1.2329736999999998,-135.273,115,C2/c,1.2685,-154.447,12.7,1.2298,35
35,194,194,1.2314329,-132.8166,195,Pc,1.2628,-153.8595,13.2,1.2307,36
36,175,175,1.2401537,-133.3431,176,P-1,1.2698,-151.7669,14.1,1.2413,37
37,64,64,1.2765508999999997,-138.1658,65,P212121,1.3126,-152.5964,15.6,1.2657,38
38,1,1,1.2637041,-145.4125,2,P-1,1.2882,-166.1942,,,39
39,3,3,1.3074232,-145.0993,4,P212121,1.3434,-162.8642,,,40
40,6,6,1.2506618,-144.7547,7,P21/c,1.2881,-166.2097,,,41
41,7,7,1.2506483999999998,-144.7543,8,Cc,1.2882,-166.209,,,42
42,9,9,1.30378,-144.7054,10,P21,1.3406,-162.6249,,,43
43,11,11,1.2646722,-143.9185,12,P21/c,1.307,-164.1079,,,44
