,index,Unnamed: 0,dens,ener,ID,sg,dma_dens,dma_ener,struc_name,f_ener,f_dens,molecules,E_idx
0,125,125,1.1372354,-124.0186,126,P31,1.2417,-136.2209,opt_126,1.22495,1.2672,3.0,1
1,5,5,1.2500677,-131.7209,6,C2/c,1.2681,-145.5313,opt_6,4.50908,1.2338,8.0,2
2,10,10,1.2360957000000001,-131.11,11,P21/c,1.2682,-148.8507,opt_11,6.268669999999999,1.2297,4.0,3
3,42,42,1.2227988,-127.6465,43,P21/c,1.2225,-135.0357,opt_43,7.570010000000001,1.2099,4.0,4
4,82,82,1.2187959,-124.7944,83,C2/c,1.2089,-137.5117,opt_83,7.66585,1.1886,8.0,5
5,592,592,1.1780213,-119.1527,593,PBCN,1.1861,-134.7937,opt_593,7.886710000000001,1.1584,8.0,6
6,3,3,1.2527815,-131.9762,4,P-1,1.267,-144.649,opt_4,8.0713,1.218,2.0,7
7,237,237,1.1990584999999998,-122.0455,238,Pbca,1.2102,-137.9893,opt_238,8.47002,1.1787,8.0,8
8,68,68,1.2258403,-125.3294,69,C2/c,1.2437,-137.785,opt_69,9.25975,1.2068,8.0,9
9,74,74,1.2200965,-125.0446,75,P21/c,1.2164,-141.6866,opt_75,9.33125,1.1896,4.0,10
10,622,622,1.1510857,-118.9868,623,P21,1.1872,-133.4937,opt_623,10.1724,1.1771,2.0,11
11,7,7,1.2500666,-131.7204,8,P21/c,1.2579,-138.685,opt_8,10.5743,1.2181,4.0,12
12,90,90,1.1896341000000001,-124.6058,91,P21/c,1.2113,-142.8312,opt_91,10.7124,1.1728,4.0,13
13,71,71,1.1902473,-125.2607,72,P21/c,1.2224,-146.3622,opt_72,10.799000000000001,1.1821,4.0,14
14,642,642,1.1503435,-118.8258,643,Pbca,1.1881,-133.5687,opt_643,10.9432,1.1655,8.0,15
15,43,43,1.1862358999999998,-127.2919,44,Pna21,1.2463,-147.3033,opt_44,10.9753,1.196,4.0,16
16,15,15,1.2275419,-130.4325,16,P21/c,1.265,-140.1889,opt_16,11.194,1.2149,4.0,17
